account,ward,aid,business,address,zip
307071,3,743.0,REGGIE'S BAR & GRILL,2105 S STATE ST,60616
10,10,829.0,HONEYBEERS,13200 S HOUSTON AVE,60633
10002,14,775.0,CELINA DELI,5089 S ARCHER AVE,60632
10005,12,,KRAFT FOODS,2005 W 43RD ST,60609
10044,44,638.0,NEYBOUR'S TAVERN,3651 N SOUTHPORT AVE,60613
584950,9,847.0,JEWEL OSCO,1000 S KOSTNER AVE,60624
964284,41,106.0,POTBELLY,1000 W 35TH ST,60609
743379,16,476.0,JEWEL OSCO,1000 W FULTON ST,60612
41306,3,419.0,SHELL STATION,10008 S WESTERN AVE,60643
421234,8,745.0,COSTCO,1002 W ARGYLE ST,60640
714369,45,404.0,BUONA BEEF,1937 N SOUTHPORT AVE,60621
657857,42,519.0,TARGET,4901 N MICHIGAN AVE,60602
105018,44,725.0,SAMS CLUB,521 W MADISON ST,60609
865252,34,853.0,TARGET,2660 S COTTAGE GROVE AVE,60614
322033,16,640.0,MARIANO'S,8277 W 43RD ST,60613
958300,24,109.0,PORTILLOS,9122 W MADISON ST,60607
807752,48,515.0,KRAFT FOODS,1600 N CICERO AVE,60627
654388,23,446.0,COSTCO,7735 N CLARK ST,60635
324974,43,828.0,LOWES,8935 S STATE ST,60615
711831,22,766.0,PIZZA HUT,4100 S WABASH AVE,60607
926,16,199.0,WALMART,8655 W 43RD ST,60605
526039,3,232.0,SUBWAY,5023 W 63RD ST,60608
438673,42,742.0,BP GAS STATION,406 W IRVING PARK RD,60611
417713,45,871.0,DOMINICKS,6066 S COTTAGE GROVE AVE,60638
171565,9,556.0,POTBELLY,4937 S WABASH AVE,60634
554722,27,851.0,POTBELLY,4384 N BROADWAY,60630
909812,23,619.0,TONY'S FINER FOODS,6537 W 43RD ST,60607
780033,13,692.0,GIORDANOS,3360 N WESTERN AVE,60634
661749,28,821.0,REGGIE'S BAR & GRILL,3904 S STATE ST,60604
50521,1,563.0,SPEEDWAY,4469 S HOUSTON AVE,60601
193221,38,211.0,KRAFT FOODS,6906 S HALSTED ST,60618
619380,36,512.0,CVS PHARMACY,5818 S STATE ST,60626
