address,zip,grant,company
1000 S KOSTNER AVE,60624,148914.5,NATIONWIDE FINANCIAL
1000 W 35TH ST,60609,100000.0,SMALL BATCH BREWING
1000 W FULTON ST,60612,34412.5,FULTON MARKET KITCHEN
10008 S WESTERN AVE,60643,12285.32,LAW OFFICES OF SMITH
1002 W ARGYLE ST,60640,28998.75,MASALA'S INDIAN GRILL
7370 N WESTERN AVE,60601,143711.68,CHICAGO TECH SOLUTIONS
960 S PULASKI RD,60602,159084.23,MIDWEST CONSULTING GROUP
5490 S STATE ST,60607,123162.2,LAKE SHORE DENTAL
5291 W 63RD ST,60610,185628.67,WICKER PARK CAFE
5834 W MADISON ST,60614,131960.02,PILSEN COMMUNITY BANK
6365 S PULASKI RD,60608,183417.14,LINCOLN PARK FLORIST
566 W FULTON ST,60621,170757.52,SOUTH SIDE BAKERY
4526 W NORTH AVE,60613,92642.88,NORTHSIDE AUTO REPAIR
5678 N CICERO AVE,60622,23604.97,DOWNTOWN YOGA STUDIO
8422 S WESTERN AVE,60623,77309.56,HYDE PARK BOOKSTORE
1785 S COTTAGE GROVE AVE,60618,135424.04,BRIDGEPORT HARDWARE
869 W MADISON ST,60647,134854.86,HUMBOLDT PARK CLINIC
7049 S WESTERN AVE,60626,120303.07,ROGERS PARK GALLERY
2533 W 35TH ST,60640,58570.75,ANDERSONVILLE BISTRO
5411 N MICHIGAN AVE,60637,114442.47,BRONZEVILLE RECORDS
5151 W CHICAGO AVE,60622,79670.74,UKRAINIAN VILLAGE DELI
6520 S WESTERN AVE,60613,194483.86,BOYSTOWN BOUTIQUE
1284 S COTTAGE GROVE AVE,60616,170538.2,CHINATOWN RESTAURANT
4655 W 63RD ST,60607,145737.26,GREEKTOWN TAVERNA
3485 W 35TH ST,60608,51017.06,LITTLE ITALY PIZZERIA
6496 W CHICAGO AVE,60642,54933.32,NOBLE SQUARE BREWERY
8766 S WESTERN AVE,60618,12884.55,AVONDALE PRINTING
9374 W NORTH AVE,60647,143579.26,LOGAN SQUARE COFFEE
2658 W IRVING PARK RD,60647,26623.71,BUCKTOWN FITNESS
7949 S PULASKI RD,60613,90670.62,WRIGLEYVILLE SPORTS
2147 W MADISON ST,60201,44335.24,EVANSTON TECH STARTUP
2847 W NORTH AVE,60302,179673.9,OAK PARK DESIGN STUDIO
9267 W MADISON ST,60402,97697.19,BERWYN FLOORING CO
289 W IRVING PARK RD,60650,114838.74,CICERO MANUFACTURING
2834 N BROADWAY,60076,140625.64,SKOKIE ELECTRONICS
3105 S COTTAGE GROVE AVE,60714,32169.63,NILES CATERING SERVICES
4758 S PULASKI RD,60068,122861.39,PARK RIDGE CONSULTING
1999 N BROADWAY,60016,110269.01,DES PLAINES LOGISTICS
7834 N CLARK ST,60635,44596.94,ELMWOOD PARK DINER
1367 S PULASKI RD,60171,188856.45,RIVER GROVE SALON
1628 N BROADWAY,60706,121778.77,NORRIDGE ACCOUNTING
3656 S KOSTNER AVE,60706,140483.06,HARWOOD HEIGHTS GYM
3990 S STATE ST,60631,176691.23,NORWOOD PARK REALTY
8938 N CLARK ST,60630,126749.04,JEFFERSON PARK AUTO
5493 S KOSTNER AVE,60630,62648.57,FOREST GLEN DAYCARE
8892 W 63RD ST,60646,25571.38,EDGEBROOK VETERINARY
8533 W MADISON ST,60646,94024.24,WILDWOOD LANDSCAPING
7613 S HALSTED ST,60655,47595.89,MOUNT GREENWOOD BAKERY
2712 W DEVON AVE,60643,86219.44,BEVERLY ARTS CENTER
7141 N CICERO AVE,60655,177239.65,MORGAN PARK INSURANCE
