ward,pop_2000,pop_2010,change,address,zip
1,52951,56149,6%,2765 WEST SA AVE,60647
2,54361,55805,3%,WM WASTE MANAGEMENT AVE,60622
3,40385,53039,31%,17 EAST 38TH ST,60653
4,51953,54589,5%,31ST ST HARBOR DR,60653
5,55302,51455,-7%,JACKSON PARK BLVD,60637
6,48210,51320,6%,921 WEST 69TH ST,60621
7,53470,55890,5%,2045 WEST 63RD ST,60629
8,58123,60234,4%,8539 SOUTH COMMERCIAL AVE,60617
9,47890,49123,3%,34 EAST 112TH PL,60628
10,51234,53456,4%,10500 SOUTH EWING AVE,60617
11,56789,58901,4%,1621 NORTH CLEAVER ST,60614
12,62345,64567,4%,3858 WEST 26TH ST,60623
13,49876,51234,3%,5533 SOUTH OAK PARK AVE,60638
14,53210,55432,4%,2650 WEST 51ST ST,60632
15,47654,49876,5%,2102 WEST 51ST ST,60609
16,50123,52345,4%,7356 SOUTH RACINE AVE,60636
17,48765,50123,3%,3659 SOUTH HALSTED ST,60609
18,52341,54567,4%,7524 SOUTH HALSTED ST,60621
19,55678,57890,4%,10500 SOUTH WESTERN AVE,60643
20,49012,51234,4%,6272 SOUTH COTTAGE GROVE AVE,60637
21,46543,48765,5%,18 EAST 112TH ST,60628
22,61234,63456,4%,2558 SOUTH MILLARD AVE,60623
23,53987,55234,2%,6737 WEST ARCHER AVE,60638
24,58432,60678,5%,5765 WEST CHICAGO AVE,60651
25,47321,49543,5%,1733 SOUTH HALSTED ST,60608
26,55876,57123,2%,2478 WEST ARMITAGE AVE,60647
27,60123,62345,4%,1159 NORTH NOBLE ST,60642
28,57654,59876,4%,2458 WEST CHICAGO AVE,60651
29,51987,53210,2%,6272 WEST GRAND AVE,60639
30,54321,56543,4%,2656 NORTH MILWAUKEE AVE,60647
31,58765,60987,4%,2657 NORTH CALDWELL AVE,60639
32,62109,64321,3%,2657 NORTH MILWAUKEE AVE,60647
33,49543,51765,4%,2049 WEST ARMITAGE AVE,60618
34,47876,49098,3%,503 EAST 130TH ST,60827
35,55432,57654,4%,2657 NORTH MILWAUKEE AVE,60647
36,58901,61123,4%,2641 NORTH MILWAUKEE AVE,60647
37,51234,53456,4%,5004 WEST CHICAGO AVE,60651
38,56789,58901,4%,6272 NORTH CENTRAL AVE,60646
39,60432,62654,4%,4243 NORTH ELSTON AVE,60618
40,53678,55890,4%,4544 NORTH BROADWAY,60640
41,57123,59345,4%,6272 NORTH ELSTON AVE,60646
42,54890,56123,2%,60 WEST SUPERIOR ST,60654
43,58234,60456,4%,2342 NORTH LINCOLN AVE,60614
44,61567,63789,4%,3223 NORTH SHEFFIELD AVE,60657
45,55890,58012,4%,4914 NORTH CENTRAL AVE,60630
46,59234,61456,4%,4544 NORTH BROADWAY,60640
47,52678,54890,4%,4744 NORTH DAMEN AVE,60625
48,56123,58234,4%,5765 NORTH RIDGE AVE,60645
49,59876,62098,4%,6500 NORTH WESTERN AVE,60645
50,53412,55634,4%,5420 NORTH CLARK ST,60640
