ward,alderman,address,zip
1,"Proco ""Joe"" Moreno",2058 NORTH WESTERN AVE,60647
2,Brian Hopkins,1400 NORTH ASHLAND AVE,60622
3,Pat Dowell,5046 SOUTH STATE ST,60609
4,William D. Burns,435 EAST 35TH ST,60616
5,Leslie A. Hairston,2325 EAST 71ST ST,60649
6,Roderick T. Sawyer,921 WEST 69TH ST,60621
7,Gregory I. Mitchell,2045 WEST 63RD ST,60629
8,Michelle A. Harris,8539 SOUTH COMMERCIAL AVE,60617
9,Anthony Beale,34 EAST 112TH PL,60628
10,Susan Sadlowski Garza,10500 SOUTH EWING AVE,60617
11,Patrick D. Thompson,1621 NORTH CLEAVER ST,60614
12,George A. Cardenas,3858 WEST 26TH ST,60623
13,Marty Quinn,5533 SOUTH OAK PARK AVE,60638
14,Edward M. Burke,2650 WEST 51ST ST,60632
15,Raymond A. Lopez,2102 WEST 51ST ST,60609
16,Toni L. Foulkes,7356 SOUTH RACINE AVE,60636
17,David H. Moore,3659 SOUTH HALSTED ST,60609
18,Derrick G. Curtis,7524 SOUTH HALSTED ST,60621
19,Matthew J. O'Shea,10500 SOUTH WESTERN AVE,60643
20,Willie B. Cochran,6272 SOUTH COTTAGE GROVE AVE,60637
21,Howard B. Brookins Jr.,18 EAST 112TH ST,60628
22,Ricardo Munoz,2558 SOUTH MILLARD AVE,60623
23,Michael R. Zalewski,6737 WEST ARCHER AVE,60638
24,Michael Scott Jr.,5765 WEST CHICAGO AVE,60651
25,Byron Sigcho-Lopez,1733 SOUTH HALSTED ST,60608
26,Roberto Maldonado,2478 WEST ARMITAGE AVE,60647
27,Walter Burnett Jr.,1159 NORTH NOBLE ST,60642
28,Jason C. Ervin,2458 WEST CHICAGO AVE,60651
29,Chris Taliaferro,6272 WEST GRAND AVE,60639
30,Ariel E. Reboyras,2656 NORTH MILWAUKEE AVE,60647
31,Felix Cardona Jr.,2657 NORTH CALDWELL AVE,60639
32,Scott Waguespack,2657 NORTH MILWAUKEE AVE,60647
33,Rossana Rodriguez Sanchez,2049 WEST ARMITAGE AVE,60618
34,Carrie M. Austin,503 EAST 130TH ST,60827
35,Carlos Ramirez-Rosa,2657 NORTH MILWAUKEE AVE,60647
36,Gilbert Villegas,2641 NORTH MILWAUKEE AVE,60647
37,Emma M. Mitts,5004 WEST CHICAGO AVE,60651
38,Nicholas Sposato,6272 NORTH CENTRAL AVE,60646
39,Margaret Laurino,4243 NORTH ELSTON AVE,60618
40,Andre Vasquez,4544 NORTH BROADWAY,60640
41,Anthony V. Napolitano,6272 NORTH ELSTON AVE,60646
42,Brendan Reilly,60 WEST SUPERIOR ST,60654
43,Michele Smith,2342 NORTH LINCOLN AVE,60614
44,Tom Tunney,3223 NORTH SHEFFIELD AVE,60657
45,John S. Arena,4914 NORTH CENTRAL AVE,60630
46,James Cappleman,4544 NORTH BROADWAY,60640
47,Ameya Pawar,4744 NORTH DAMEN AVE,60625
48,Harry Osterman,5765 NORTH RIDGE AVE,60645
49,Joe Moore,6500 NORTH WESTERN AVE,60645
50,Debra L. Silverstein,5420 NORTH CLARK ST,60640
