order_id,user_id,order_month,category,amount,location
1001,28,January,Electronics,235.03,UK
1002,80,January,Electronics,240.9,UK
1003,22,January,Electronics,240.2,UK
1004,9,January,Electronics,243.45,UK
1005,5,February,Electronics,235.3,UK
1006,38,February,Electronics,241.0,UK
1007,16,February,Electronics,237.68,UK
1008,4,February,Electronics,236.21,UK
1009,98,February,Electronics,236.01,UK
1010,86,January,Electronics,242.48,UK
1011,90,March,Electronics,235.16,UK
1012,70,March,Electronics,235.49,UK
1013,79,February,Electronics,242.48,UK
1014,78,January,Electronics,238.57,UK
1015,14,February,Electronics,242.59,UK
1016,56,February,Electronics,238.76,UK
1017,62,February,Electronics,242.99,UK
1018,4,January,Electronics,235.26,UK
1019,4,March,Electronics,240.06,UK
1020,21,March,Electronics,243.21,UK
1021,40,January,Electronics,240.45,UK
1022,84,February,Electronics,237.67,UK
1023,56,February,Electronics,238.45,UK
1024,67,January,Electronics,238.69,UK
1025,100,January,Electronics,239.29,UK
1026,95,January,Electronics,244.19,UK
1027,93,January,Electronics,242.84,UK
1028,5,February,Electronics,242.38,UK
1029,66,February,Electronics,237.81,UK
1030,47,February,Electronics,239.57,UK
1031,40,March,Electronics,237.88,UK
1032,84,February,Electronics,241.96,UK
1033,48,February,Electronics,243.21,UK
1034,3,March,Electronics,241.55,UK
1035,87,March,Electronics,239.14,UK
1036,41,March,Electronics,244.52,UK
1037,100,January,Electronics,237.43,UK
1038,72,February,Electronics,241.09,UK
1039,32,February,Electronics,242.58,UK
1040,42,March,Electronics,241.94,UK
1041,43,March,Electronics,236.15,UK
1042,2,March,Electronics,241.36,UK
1043,79,March,Electronics,238.09,UK
1044,54,January,Electronics,238.53,UK
1045,49,March,Electronics,244.81,UK
1046,56,March,Electronics,240.39,UK
1047,51,March,Electronics,239.44,UK
1048,6,February,Electronics,244.49,UK
1049,49,February,Electronics,239.52,UK
1050,93,March,Electronics,236.91,UK
1051,96,February,Electronics,244.92,UK
1052,49,January,Electronics,240.48,UK
1053,57,January,Electronics,242.69,UK
1054,8,January,Electronics,244.13,UK
1055,26,March,Electronics,241.82,UK
1056,17,March,Electronics,239.07,UK
1057,63,March,Electronics,239.08,UK
1058,8,January,Electronics,236.46,UK
1059,96,January,Electronics,236.97,UK
1060,22,March,Electronics,236.92,UK
1061,35,February,Electronics,239.08,UK
1062,41,March,Electronics,238.48,UK
1063,80,January,Electronics,243.35,UK
1064,3,January,Electronics,236.98,UK
1065,86,March,Electronics,243.62,UK
1066,57,February,Electronics,238.97,UK
1067,10,January,Electronics,236.53,UK
1068,55,March,Electronics,238.39,UK
1069,22,March,Electronics,238.67,UK
1070,25,February,Electronics,239.27,UK
1071,3,February,Electronics,236.86,UK
1072,83,February,Electronics,241.58,UK
1073,50,January,Electronics,244.2,UK
1074,90,January,Electronics,242.34,UK
1075,87,March,Electronics,243.82,UK
1076,70,January,Electronics,244.53,UK
1077,20,January,Electronics,236.95,UK
1078,41,January,Electronics,239.73,UK
1079,63,January,Electronics,238.86,UK
1080,71,March,Electronics,238.74,UK
1081,61,March,Electronics,235.28,UK
1082,96,February,Electronics,244.29,UK
