id,original_title,popularity,release_date
257,Oliver Twist,20.415572,2005-09-23
14290,Better Luck Tomorrow,3.877036,2002-01-12
38365,Grown Ups,38.864027,2010-06-24
9672,Infamous,3.680895,2006-11-16
12819,Alpha and Omega,12.300789,2010-09-17
77789,The Shawshank Redemption,96.267486,1990-01-14
38916,The Matrix,51.182364,1995-05-17
87161,Vertigo,53.159115,2018-03-30
25488,Pulp Fiction,78.75299,2005-06-25
80266,Avatar,99.899342,2005-05-01
37982,Monsters Inc,31.258963,1998-05-14
88717,Vertigo,68.488476,2013-10-31
39008,The Dark Knight,67.27944,2013-12-19
6292,Harry Potter,85.803778,2018-08-04
44502,The Godfather,65.123865,2007-08-08
69395,The Avengers,46.090922,2012-06-07
92913,Star Wars,31.426566,2011-06-03
28917,Braveheart,96.933139,1990-03-21
57236,Cars,33.905748,2010-10-10
98555,The Godfather,25.886892,2015-08-27
32153,Schindler's List,79.369318,1993-01-03
33088,Oliver Twist,50.016273,2013-02-23
8385,Toy Story,18.733025,2017-02-01
44467,The Matrix,36.226878,2017-06-09
58950,The Godfather,20.745083,1994-09-12
65119,Kingdom of Heaven,21.298072,1996-06-11
89824,The Dark Knight,8.041477,2002-06-18
23099,Gladiator,64.696233,1990-11-10
38473,Better Luck Tomorrow,37.441262,1999-05-13
84802,Lord of the Rings,6.42142,2007-02-08
83684,Casablanca,65.273619,2003-05-25
45105,Oliver Twist,30.036103,2011-07-24
71302,Psycho,16.624385,2004-02-12
68632,The Lion King,96.051926,1990-09-19
61892,Up,7.940356,2009-04-11
12814,Jurassic Park,38.973185,2007-01-14
13127,Oliver Twist,61.746304,2018-06-19
33983,Braveheart,99.344739,2002-02-17
72998,Finding Nemo,8.704798,2018-01-25
80709,Star Wars,93.185915,1992-06-14
33188,Up,88.14725,2019-06-15
27722,Braveheart,78.027434,2008-12-03
28594,Goodfellas,10.713572,1999-12-22
61717,Alpha and Omega,29.440857,2015-01-09
75707,Shrek,27.476094,2015-05-02
80808,Finding Nemo,53.658905,2000-01-03
51054,The Matrix,12.436553,2015-07-08
7832,Back to the Future,81.718232,2011-06-29
69801,WALL-E,68.376271,2004-02-15
48444,Batman Begins,86.175951,2019-11-30
98188,Fight Club,22.651175,2019-08-01
51766,Gladiator,62.237048,2006-08-21
89932,Harry Potter,85.170121,1991-06-06
28277,The Shawshank Redemption,5.519732,2008-12-10
32280,Psycho,55.283861,2003-12-29
32578,Up,72.858642,2010-07-20
31620,Finding Nemo,37.471676,2012-06-12
45846,Psycho,35.677237,2006-07-29
61985,The Lion King,3.713688,1992-05-20
28178,Ratatouille,49.225827,1994-11-15
88330,Grown Ups,59.832593,1992-06-11
97715,Inception,74.169261,1998-09-24
5315,Ratatouille,9.090202,2012-03-12
75417,Up,41.957921,1990-06-03
45645,Interstellar,26.125348,2001-12-06
22682,Star Wars,21.084395,2000-09-26
49041,Troy,24.942834,2006-04-12
26747,Finding Nemo,36.376548,1990-01-10
23941,Brave,73.412084,2010-07-11
11348,Goodfellas,43.851213,1999-02-22
72966,Alpha and Omega,6.785786,2020-12-01
58176,Inception,35.065477,2006-11-17
89383,Pulp Fiction,11.414821,2017-08-01
9759,Avatar,21.582636,2010-06-10
74949,Jurassic Park,13.367104,1995-02-11
36782,Citizen Kane,97.213697,2017-04-30
77691,Vertigo,88.068665,2005-08-31
75009,The Dark Knight,62.68227,2001-11-16
71801,Cars,25.430642,2011-04-12
84965,Lord of the Rings,17.841457,2016-09-02
4321,Harry Potter,84.274752,2005-11-02
13409,Grown Ups,7.735076,1991-11-10
26235,Monsters Inc,69.47536,2001-10-05
7837,Schindler's List,29.837621,1994-09-22
89024,The Incredibles,49.216514,1996-11-15
89803,Pulp Fiction,73.006543,1993-10-16
76635,Monsters Inc,4.115804,1992-09-21
50652,The Incredibles,17.96768,2005-11-29
41646,Citizen Kane,64.891323,2003-04-15
65716,Iron Man,92.013474,1990-12-06
53846,Lord of the Rings,26.181458,2017-02-18
14048,Gladiator,15.392962,2019-09-21
76163,Troy,92.51996,2019-08-15
48530,Kingdom of Heaven,86.600506,1997-02-08
67032,Gladiator,91.024052,2005-02-11
35867,Pulp Fiction,12.909497,1993-10-24
64061,Interstellar,92.393371,2012-07-12
75167,The Silence of the Lambs,58.340255,2007-04-22
61295,Star Wars,66.861226,2009-11-13
18429,Finding Nemo,45.684814,2011-09-03
76223,300,35.8621,2020-10-27
44651,Back to the Future,11.728953,2011-06-08
6401,Batman Begins,22.749764,2003-02-23
26083,Monsters Inc,58.969402,2017-04-25
16260,Se7en,32.027944,2017-08-29
29671,The Silence of the Lambs,12.409933,2004-01-18
41379,Lord of the Rings,71.108811,2002-03-12
47917,Schindler's List,53.089286,1998-10-22
68198,Casablanca,4.58785,2020-04-21
87674,Braveheart,67.416461,2009-07-14
38725,The Godfather,86.219449,2003-11-23
81051,Interstellar,77.684334,2014-04-05
38877,Harry Potter,92.505977,2015-06-11
49546,Harry Potter,34.120537,1996-01-06
75588,Fight Club,9.264044,2016-03-17
4372,Casablanca,71.555633,1999-12-14
97795,The Matrix,90.245731,1994-12-25
65140,Fight Club,32.240196,2005-10-23
3099,Inception,26.903207,2006-09-20
24152,Citizen Kane,71.628514,1992-10-19
90655,Psycho,72.956281,1991-11-09
56076,Shrek,83.040342,1996-11-03
86269,The Matrix,74.714532,1996-12-26
93861,WALL-E,40.34318,2008-08-26
4150,The Shawshank Redemption,42.589106,2006-02-24
51715,Troy,80.561215,1998-09-25
43957,Infamous,27.081502,2004-04-19
10134,Pulp Fiction,11.321793,1992-12-16
47101,The Godfather,22.185857,2013-06-29
89884,Grown Ups,50.781344,2011-10-09
14142,Kingdom of Heaven,57.263013,1997-12-10
52637,Star Wars,7.525138,2005-11-02
32282,Schindler's List,30.684665,2004-09-05
21468,300,75.054599,2008-12-06
93008,Casablanca,86.316014,2005-03-03
49118,The Avengers,13.428202,1995-10-20
2359,Indiana Jones,52.112282,1993-10-14
78409,Shrek,15.399196,1995-08-13
4879,Interstellar,72.344247,2005-12-05
79168,The Incredibles,16.12101,2015-07-09
36794,The Godfather,10.118618,1997-03-16
80046,Toy Story,44.351905,2017-01-15
81374,Fight Club,9.925144,1992-07-02
88747,Vertigo,81.699756,1996-10-25
2595,Vertigo,82.770816,2020-11-12
41861,Cars,51.416854,2016-09-08
65282,Monsters Inc,57.460165,2011-06-27
46843,Se7en,13.693156,1996-12-10
16830,Se7en,28.026129,1998-06-28
19554,Inception,12.539725,2005-09-23
89874,300,21.830064,1990-12-16
58327,Vertigo,39.755559,2018-06-26
58734,The Incredibles,68.343568,1992-11-21
73875,Gladiator,72.932317,2004-11-28
15662,The Silence of the Lambs,44.72493,2008-07-25
44956,Up,29.657562,2010-08-02
59013,Jurassic Park,81.059461,1992-05-14
41317,Inception,44.037873,2013-08-31
790,Indiana Jones,56.271599,2006-04-29
51028,Vertigo,27.041089,1995-09-16
2268,The Matrix,7.118357,1995-09-10
249,300,16.869174,2012-02-15
11156,Inception,71.455131,2014-03-11
91337,Goodfellas,28.017539,1994-08-06
59333,Psycho,13.075467,2011-07-02
88377,Spider-Man,64.381785,2000-01-06
17439,Up,48.061125,1993-07-09
92135,Interstellar,2.811413,2017-07-03
38114,Oliver Twist,99.087603,2010-06-09
28227,Up,38.531692,2015-02-21
82663,Avatar,65.692552,2014-12-04
54248,Toy Story,98.366316,2008-11-08
52686,Se7en,63.641226,2012-11-26
68881,Se7en,31.509375,2005-03-28
50975,Up,49.088458,2020-06-30
8214,Alpha and Omega,10.727963,2006-11-25
67816,The Avengers,17.339319,2003-06-16
66196,Forrest Gump,31.508872,1993-07-13
29286,Back to the Future,8.932715,1999-12-09
80516,Toy Story,11.793813,1995-12-22
79674,Vertigo,84.033749,2019-11-16
64790,The Avengers,25.335151,1997-04-21
97520,Troy,32.594216,2017-03-27
94608,Interstellar,17.771682,2020-06-05
19373,Monsters Inc,40.719297,1999-10-23
29634,Citizen Kane,69.930254,2008-01-15
41367,Jurassic Park,94.55985,2009-07-27
77986,Fight Club,54.109136,2018-08-10
97068,Fight Club,30.3725,2008-04-30
1449,Iron Man,51.23137,2020-05-04
27920,Lord of the Rings,13.202319,2011-01-11
65628,The Shawshank Redemption,67.875102,1991-11-22
51572,Star Wars,33.18264,1996-04-16
21764,Casablanca,94.513344,2006-01-12
54494,Iron Man,66.024863,2014-09-05
15352,The Incredibles,47.875619,2019-02-21
6085,The Godfather,23.44258,1999-03-19
69323,Star Wars,9.64788,1995-12-09
99954,Shrek,19.223344,2017-12-18
82552,The Incredibles,57.218214,2013-12-23
63599,Cars,52.199684,1992-09-01
59480,The Silence of the Lambs,1.441279,1995-11-05
85623,Pulp Fiction,74.534208,2019-05-05
13794,Star Wars,4.494483,1991-09-18
40600,Troy,8.262767,2001-12-02
66795,Harry Potter,71.333492,1994-03-11
3419,Indiana Jones,64.787467,2010-10-30
80984,Schindler's List,21.934756,1995-09-01
73864,Star Wars,66.451329,1990-02-28
22730,Iron Man,2.387557,2014-09-06
47922,Oliver Twist,28.169579,1993-07-18
94042,Vertigo,76.074877,2018-05-14
34336,Batman Begins,47.733079,2003-03-06
35386,The Dark Knight,85.630419,2018-05-12
24706,Pulp Fiction,14.792416,1991-10-27
60685,Brave,86.332312,2016-03-01
48607,Goodfellas,48.872983,2003-12-10
79035,Iron Man,10.5972,2002-05-16
921,Titanic,5.139071,2012-07-09
16835,Toy Story,0.629039,2016-11-25
35701,Ratatouille,63.886205,1993-04-15
4344,Ratatouille,22.59543,2017-12-30
37931,Cars,15.022164,1999-12-01
79768,Titanic,60.341035,1994-05-05
83419,Star Wars,41.210183,1991-11-30
84950,Oliver Twist,45.225868,2010-12-31
71382,Cars,13.83456,2016-07-24
95893,The Shawshank Redemption,25.694709,1994-05-17
43799,Kingdom of Heaven,10.351734,2005-11-03
29832,Up,33.829193,2000-06-13
91818,Schindler's List,31.206442,1996-02-16
28827,Finding Nemo,77.874472,2010-02-22
44081,300,98.680258,1992-01-08
40751,Up,99.918805,2014-12-30
90937,The Incredibles,38.901374,2012-10-24
91441,Indiana Jones,79.413322,1994-06-27
93278,Citizen Kane,28.272935,2014-12-24
15617,Indiana Jones,14.730164,2012-01-19
18105,Vertigo,64.175411,2014-10-24
42645,Monsters Inc,47.951427,2004-10-16
33385,Spider-Man,59.571789,2013-06-19
55002,Troy,36.946799,2013-08-08
49304,The Silence of the Lambs,30.554114,2006-09-21
11007,The Shawshank Redemption,92.815135,2007-08-14
29438,The Godfather,88.409231,2000-04-06
72764,Inception,12.816408,2014-12-02
96501,Indiana Jones,65.405094,2000-08-04
44100,Goodfellas,36.106738,1992-01-26
62598,Finding Nemo,56.969202,2014-10-22
71820,Harry Potter,21.116095,2014-05-27
83749,Fight Club,72.503372,2019-02-15
79884,Finding Nemo,31.32538,1999-07-19
10508,Fight Club,69.010088,2011-11-10
