id,tagline
19995,Enter the World of Pandora.
285,"At the end of the world, the adventure begins."
206647,A Plan No One Escapes
49026,The Legend Ends
49529,"Lost in our world, found in another."
586547,Nothing is what it seems.
698421,Why so serious?
50402,"At the end of the world, the adventure begins."
622203,The battle begins.
746663,Part of the journey is the end.
814675,Collide with destiny.
271028,Everything changes.
305044,There and back again.
861297,The greatest adventure is what lies ahead.
356729,Why so serious?
33644,"Lost in our world, found in another."
126624,In space no one can hear you scream.
53372,Free your mind.
191172,The end is near.
917789,Just when you thought it was safe to go back in the water.
951115,Nothing is what it seems.
60577,Life is like a box of chocolates.
863025,Life is like a box of chocolates.
113239,"At the end of the world, the adventure begins."
634221,A new beginning.
526609,Just when you thought it was safe to go back in the water.
277412,The greatest adventure is what lies ahead.
93591,A new beginning.
107575,May the Force be with you.
376995,I'll be back.
881374,Nothing is what it seems.
646958,Nothing is what it seems.
202110,Heroes are made.
590439,Heroes are made.
192156,Just keep swimming.
713608,I am Iron Man.
774005,You won't know until you've seen it.
132578,"Go ahead, make my day."
946146,Life is like a box of chocolates.
297958,The battle begins.
6809,"Elementary, my dear Watson."
888530,Whatever it takes.
404121,"A long time ago in a galaxy far, far away."
411287,You had me at hello.
422735,Why so serious?
362568,To infinity and beyond!
377377,An unexpected journey.
997384,Hakuna Matata.
924938,The Legend Ends
269120,You can't handle the truth!
715053,Just when you thought it was safe to go back in the water.
507037,Free your mind.
635950,The greatest adventure is what lies ahead.
585995,Hakuna Matata.
329853,Life is like a box of chocolates.
83715,Hakuna Matata.
280522,I see dead people.
739376,Saving the world takes everything.
900518,Hakuna Matata.
965333,"Here's looking at you, kid."
195429,"At the end of the world, the adventure begins."
925861,Hakuna Matata.
324041,Show me the money.
378519,"Lost in our world, found in another."
19251,Be afraid. Be very afraid.
165373,The greatest adventure is what lies ahead.
417502,Mankind was born on Earth. It was never meant to die here.
9814,"Here's looking at you, kid."
37053,You won't know until you've seen it.
1016,Show me the money.
110661,One ring to rule them all.
4998,You had me at hello.
141582,I see dead people.
392944,To infinity and beyond!
422425,"Elementary, my dear Watson."
549230,The end is near.
443989,Free your mind.
809683,The battle begins.
826709,In space no one can hear you scream.
781752,A Plan No One Escapes
506101,Mankind was born on Earth. It was never meant to die here.
431529,Into darkness.
325795,One ring to rule them all.
152881,There and back again.
62962,Wakanda forever.
310044,In space no one can hear you scream.
829948,Hakuna Matata.
688332,The final chapter.
367989,To infinity and beyond!
988262,An unexpected journey.
252063,Just keep swimming.
877201,In space no one can hear you scream.
572957,A Plan No One Escapes
843552,One ring to rule them all.
124880,Into darkness.
10149,Free your mind.
654637,"Here's looking at you, kid."
739576,To infinity and beyond!
881265,"A long time ago in a galaxy far, far away."
1810,"Go ahead, make my day."
125493,Enter the World of Pandora.
395849,Heroes are made.
578329,Whatever it takes.
223618,Show me the money.
219317,The battle begins.
117784,Be afraid. Be very afraid.
339430,Free your mind.
213188,Everything changes.
